sample_id,task_id,task_name,language,prompt_level,llm,repetition,loc,avg_cc,mi,code_smells,acs
S0589,T08,Event bus,python,P2,claude-3.5-sonnet,4,116,1.0,50.0,0,4.5
S0590,T08,Event bus,python,P2,claude-3.5-sonnet,5,116,1.0,50.0,0,4.5
S0591,T08,Event bus,python,P3,gpt-4o,1,159,1.0,50.0,0,5.5
S0592,T08,Event bus,python,P3,gpt-4o,2,159,1.0,50.0,0,5.0
S0593,T08,Event bus,python,P3,gpt-4o,3,159,1.0,50.0,0,6.0
S0594,T08,Event bus,python,P3,gpt-4o,4,159,1.0,50.0,0,5.0
S0595,T08,Event bus,python,P3,gpt-4o,5,159,1.0,50.0,0,6.0
S0596,T08,Event bus,python,P3,claude-3.5-sonnet,1,159,1.0,50.0,0,6.0
S0597,T08,Event bus,python,P3,claude-3.5-sonnet,2,159,1.0,50.0,0,5.0
S0598,T08,Event bus,python,P3,claude-3.5-sonnet,3,159,1.0,50.0,0,6.0
S0599,T08,Event bus,python,P3,claude-3.5-sonnet,4,159,1.0,50.0,0,6.0
S0600,T08,Event bus,python,P3,claude-3.5-sonnet,5,159,1.0,50.0,0,7.0
S0641,T09,Data pipeline,python,P0,gpt-4o,1,36,2.67,63.54,11,1.0
S0642,T09,Data pipeline,python,P0,gpt-4o,2,36,2.67,59.67,11,1.0
S0643,T09,Data pipeline,python,P0,gpt-4o,3,36,2.67,63.54,11,0.0
S0644,T09,Data pipeline,python,P0,gpt-4o,4,36,2.67,63.54,11,1.0
S0645,T09,Data pipeline,python,P0,gpt-4o,5,36,2.67,59.67,11,1.0
S0646,T09,Data pipeline,python,P0,claude-3.5-sonnet,1,36,2.67,59.67,11,0.5
S0647,T09,Data pipeline,python,P0,claude-3.5-sonnet,2,36,2.67,59.67,11,0.5
S0648,T09,Data pipeline,python,P0,claude-3.5-sonnet,3,36,2.67,59.67,11,0.0
S0649,T09,Data pipeline,python,P0,claude-3.5-sonnet,4,36,2.67,59.67,11,1.0
S0650,T09,Data pipeline,python,P0,claude-3.5-sonnet,5,36,2.67,59.67,11,1.0
S0651,T09,Data pipeline,python,P1,gpt-4o,1,60,2.0,55.6,27,2.0
S0652,T09,Data pipeline,python,P1,gpt-4o,2,60,2.0,52.43,27,2.0
S0653,T09,Data pipeline,python,P1,gpt-4o,3,60,2.0,55.6,27,2.0
S0654,T09,Data pipeline,python,P1,gpt-4o,4,60,2.0,55.6,27,2.0
S0655,T09,Data pipeline,python,P1,gpt-4o,5,60,2.0,52.43,27,2.0
S0656,T09,Data pipeline,python,P1,claude-3.5-sonnet,1,60,2.0,52.43,27,1.5
S0657,T09,Data pipeline,python,P1,claude-3.5-sonnet,2,60,2.0,52.43,27,1.5
S0658,T09,Data pipeline,python,P1,claude-3.5-sonnet,3,60,2.0,52.43,27,1.5
S0659,T09,Data pipeline,python,P1,claude-3.5-sonnet,4,60,2.0,52.43,27,2.0
S0660,T09,Data pipeline,python,P1,claude-3.5-sonnet,5,60,2.0,52.43,27,2.0
S0661,T09,Data pipeline,python,P2,gpt-4o,1,116,1.0,50.0,0,5.5
S0662,T09,Data pipeline,python,P2,gpt-4o,2,116,1.0,50.0,0,5.0
S0663,T09,Data pipeline,python,P2,gpt-4o,3,116,1.0,50.0,0,6.0
S0664,T09,Data pipeline,python,P2,gpt-4o,4,116,1.0,50.0,0,5.5
S0665,T09,Data pipeline,python,P2,gpt-4o,5,116,1.0,50.0,0,5.0
S0666,T09,Data pipeline,python,P2,claude-3.5-sonnet,1,116,1.0,50.0,0,5.0
S0667,T09,Data pipeline,python,P2,claude-3.5-sonnet,2,116,1.0,50.0,0,5.0
S0668,T09,Data pipeline,python,P2,claude-3.5-sonnet,3,116,1.0,50.0,0,4.0
S0669,T09,Data pipeline,python,P2,claude-3.5-sonnet,4,116,1.0,50.0,0,5.0
S0670,T09,Data pipeline,python,P2,claude-3.5-sonnet,5,116,1.0,50.0,0,5.0
S0671,T09,Data pipeline,python,P3,gpt-4o,1,159,1.0,50.0,0,5.5
S0673,T09,Data pipeline,python,P3,gpt-4o,3,159,1.0,50.0,0,5.5
S0674,T09,Data pipeline,python,P3,gpt-4o,4,159,1.0,50.0,0,5.5
S0675,T09,Data pipeline,python,P3,gpt-4o,5,159,1.0,50.0,0,6.0
S0676,T09,Data pipeline,python,P3,claude-3.5-sonnet,1,159,1.0,50.0,0,5.5
S0677,T09,Data pipeline,python,P3,claude-3.5-sonnet,2,159,1.0,50.0,0,5.0
S0678,T09,Data pipeline,python,P3,claude-3.5-sonnet,3,159,1.0,50.0,0,6.0
S0679,T09,Data pipeline,python,P3,claude-3.5-sonnet,4,159,1.0,50.0,0,6.0
S0680,T09,Data pipeline,python,P3,claude-3.5-sonnet,5,159,1.0,50.0,0,5.0
S0721,T10,RBAC system,python,P0,gpt-4o,1,36,2.67,63.54,11,1.0
S0722,T10,RBAC system,python,P0,gpt-4o,2,36,2.67,59.67,11,0.0
S0723,T10,RBAC system,python,P0,gpt-4o,3,36,2.67,63.54,11,0.0
S0724,T10,RBAC system,python,P0,gpt-4o,4,36,2.67,63.54,11,1.5
S0725,T10,RBAC system,python,P0,gpt-4o,5,36,2.67,59.67,11,0.0
S0726,T10,RBAC system,python,P0,claude-3.5-sonnet,1,36,2.67,59.67,11,1.0
S0727,T10,RBAC system,python,P0,claude-3.5-sonnet,2,36,2.67,59.67,11,0.5
S0729,T10,RBAC system,python,P0,claude-3.5-sonnet,4,36,2.67,59.67,11,1.0
S0730,T10,RBAC system,python,P0,claude-3.5-sonnet,5,36,2.67,59.67,11,0.0
S0731,T10,RBAC system,python,P1,gpt-4o,1,60,2.0,55.6,27,2.0
S0732,T10,RBAC system,python,P1,gpt-4o,2,60,2.0,52.43,27,2.5
S0733,T10,RBAC system,python,P1,gpt-4o,3,60,2.0,55.6,27,2.0
S0734,T10,RBAC system,python,P1,gpt-4o,4,60,2.0,55.6,27,2.0
S0735,T10,RBAC system,python,P1,gpt-4o,5,60,2.0,52.43,27,2.0
S0736,T10,RBAC system,python,P1,claude-3.5-sonnet,1,60,2.0,52.43,27,1.0
S0737,T10,RBAC system,python,P1,claude-3.5-sonnet,2,60,2.0,52.43,27,1.0
S0738,T10,RBAC system,python,P1,claude-3.5-sonnet,3,60,2.0,52.43,27,2.0
S0739,T10,RBAC system,python,P1,claude-3.5-sonnet,4,60,2.0,52.43,27,2.0
S0740,T10,RBAC system,python,P1,claude-3.5-sonnet,5,60,2.0,52.43,27,1.0
S0741,T10,RBAC system,python,P2,gpt-4o,1,116,1.0,50.0,0,5.0
S0742,T10,RBAC system,python,P2,gpt-4o,2,116,1.0,50.0,0,5.0
S0743,T10,RBAC system,python,P2,gpt-4o,3,116,1.0,50.0,0,5.0
S0744,T10,RBAC system,python,P2,gpt-4o,4,116,1.0,50.0,0,6.0
S0745,T10,RBAC system,python,P2,gpt-4o,5,116,1.0,50.0,0,5.5
S0746,T10,RBAC system,python,P2,claude-3.5-sonnet,1,116,1.0,50.0,0,4.5
S0747,T10,RBAC system,python,P2,claude-3.5-sonnet,2,116,1.0,50.0,0,5.0
S0748,T10,RBAC system,python,P2,claude-3.5-sonnet,3,116,1.0,50.0,0,4.0
S0749,T10,RBAC system,python,P2,claude-3.5-sonnet,4,116,1.0,50.0,0,4.0
S0750,T10,RBAC system,python,P2,claude-3.5-sonnet,5,116,1.0,50.0,0,5.0
S0751,T10,RBAC system,python,P3,gpt-4o,1,159,1.0,50.0,0,7.0
S0752,T10,RBAC system,python,P3,gpt-4o,2,159,1.0,50.0,0,6.0
S0753,T10,RBAC system,python,P3,gpt-4o,3,159,1.0,50.0,0,5.5
S0754,T10,RBAC system,python,P3,gpt-4o,4,159,1.0,50.0,0,6.0
S0755,T10,RBAC system,python,P3,gpt-4o,5,159,1.0,50.0,0,5.5
S0756,T10,RBAC system,python,P3,claude-3.5-sonnet,1,159,1.0,50.0,0,6.5
S0757,T10,RBAC system,python,P3,claude-3.5-sonnet,2,159,1.0,50.0,0,7.0
S0758,T10,RBAC system,python,P3,claude-3.5-sonnet,3,159,1.0,50.0,0,6.0
S0759,T10,RBAC system,python,P3,claude-3.5-sonnet,4,159,1.0,50.0,0,6.0
S0760,T10,RBAC system,python,P3,claude-3.5-sonnet,5,159,1.0,50.0,0,6.0
S0041,T01,CRUD REST API,java,P0,gpt-4o,1,82,5.07275913785163,45.277576438794846,22,0.44298670008166596
S0042,T01,CRUD REST API,java,P0,gpt-4o,2,76,5.067942393350427,42.63721205239203,19,0.8397652958652602
S0043,T01,CRUD REST API,java,P0,gpt-4o,3,79,5.665540413602024,46.07212987870383,20,0.564430391523068
S0044,T01,CRUD REST API,java,P0,gpt-4o,4,80,5.838968654756091,41.950200423936266,22,0.8992853797313658
S0045,T01,CRUD REST API,java,P0,gpt-4o,5,77,4.395195750409951,43.97099381639899,22,0.45832200108546517
S0046,T01,CRUD REST API,java,P0,claude-3.5-sonnet,1,78,5.187512665814914,41.82197840836723,18,0.15085631674909106
S0047,T01,CRUD REST API,java,P0,claude-3.5-sonnet,2,67,5.283489003886496,44.48990482240804,18,1.4997305601907125
S0048,T01,CRUD REST API,java,P0,claude-3.5-sonnet,3,77,4.7138910686006,43.93444532739514,22,2.2042011669846637
S0049,T01,CRUD REST API,java,P0,claude-3.5-sonnet,4,83,4.288160796960856,40.714732636325564,20,0.6490473097792522
S0050,T01,CRUD REST API,java,P0,claude-3.5-sonnet,5,84,4.674107824831986,42.259059690271904,21,1.7575306251319
S0051,T01,CRUD REST API,java,P1,gpt-4o,1,132,4.305660533030189,39.07953321923758,33,2.8769905478290267
S0052,T01,CRUD REST API,java,P1,gpt-4o,2,127,3.665415760753714,35.67590716240059,31,2.367187747418893
S0053,T01,CRUD REST API,java,P1,gpt-4o,3,114,3.3893930342285583,46.8728002225701,30,2.60629861336495
S0054,T01,CRUD REST API,java,P1,gpt-4o,4,123,3.2171594108837462,42.04572923908054,32,3.4752869267524904
S0055,T01,CRUD REST API,java,P1,gpt-4o,5,117,3.6585568378088866,34.51484468776712,31,1.90064452874991
S0056,T01,CRUD REST API,java,P1,claude-3.5-sonnet,1,106,3.457344597746994,39.28428294492482,32,2.030202227281704
S0057,T01,CRUD REST API,java,P1,claude-3.5-sonnet,2,140,4.03509428914523,33.48814096057353,34,2.5365416055263665
S0058,T01,CRUD REST API,java,P1,claude-3.5-sonnet,3,109,2.6482626423525852,37.035090306985936,31,3.1081069352318567
S0059,T01,CRUD REST API,java,P1,claude-3.5-sonnet,4,120,3.179057486323757,39.81173463718266,31,2.483140159796616
S0060,T01,CRUD REST API,java,P1,claude-3.5-sonnet,5,115,4.236692198793444,36.766190996913764,30,2.77464920192169
S0061,T01,CRUD REST API,java,P2,gpt-4o,1,226,2.105232170783014,34.70426762493092,46,8.271292482193918
S0062,T01,CRUD REST API,java,P2,gpt-4o,2,196,1.6399801190609744,30.10064980565256,46,8.752288119404831
S0063,T01,CRUD REST API,java,P2,gpt-4o,3,193,2.266749148219784,37.03465708633983,45,8.43298113854935
S0064,T01,CRUD REST API,java,P2,gpt-4o,4,197,1.770511574234306,32.27354787858859,46,7.559823902756288
S0065,T01,CRUD REST API,java,P2,gpt-4o,5,199,3.033012662143298,35.836908912334565,45,8.578113572562586
S0066,T01,CRUD REST API,java,P2,claude-3.5-sonnet,1,222,1.5299950959962398,28.513642925673835,48,8.698933626292337
S0067,T01,CRUD REST API,java,P2,claude-3.5-sonnet,2,168,3.6612338443047996,25.539776476152362,48,6.9875121193130205
S0068,T01,CRUD REST API,java,P2,claude-3.5-sonnet,3,208,3.006670020030648,33.545542567932976,47,8.061373478400204
S0069,T01,CRUD REST API,java,P2,claude-3.5-sonnet,4,185,2.3617246306161928,26.903497977682047,45,9.466620203258765
S0070,T01,CRUD REST API,java,P2,claude-3.5-sonnet,5,171,3.3374067402019545,31.00147069046312,48,7.245799627342904
S0071,T01,CRUD REST API,java,P3,gpt-4o,1,300,2.495193560146789,38.88610097484709,54,9.200513575805644
S0072,T01,CRUD REST API,java,P3,gpt-4o,2,334,2.1246797634515424,49.525015378399004,52,9.172897504103064
S0073,T01,CRUD REST API,java,P3,gpt-4o,3,275,2.6201469404931195,34.23018559088866,54,8.740208146151778
S0074,T01,CRUD REST API,java,P3,gpt-4o,4,304,1.9557764650933103,40.94286311841003,52,8.857522045145492
S0075,T01,CRUD REST API,java,P3,gpt-4o,5,295,2.7878174348284546,39.67214674281083,54,9.339704385101394
S0076,T01,CRUD REST API,java,P3,claude-3.5-sonnet,1,270,2.6170793108513504,36.115828436947496,52,9.030074193936478
S0077,T01,CRUD REST API,java,P3,claude-3.5-sonnet,2,291,1.9243370122556374,37.04134237181497,55,9.167001484014373
S0078,T01,CRUD REST API,java,P3,claude-3.5-sonnet,3,327,3.4086117672585807,44.209186779899255,56,9.085597235751397
S0079,T01,CRUD REST API,java,P3,claude-3.5-sonnet,4,300,2.9381666539146543,37.09142034021257,52,9.137035272443997
S0080,T01,CRUD REST API,java,P3,claude-3.5-sonnet,5,304,2.290228549900333,36.780401159627196,53,9.167775590454102
S0121,T02,Authentication system,java,P0,gpt-4o,1,50,3.996421517729207,59.608087389127384,12,0.0
S0122,T02,Authentication system,java,P0,gpt-4o,2,46,3.064547583334149,60.58778449521575,12,1.0256753362399909
S0123,T02,Authentication system,java,P0,gpt-4o,3,47,3.693871733939765,60.50130251434937,12,1.0048064419595404
S0124,T02,Authentication system,java,P0,gpt-4o,4,43,2.0996644356689065,60.16168538840573,11,1.2262173196428259
S0125,T02,Authentication system,java,P0,gpt-4o,5,49,3.3061920546748187,69.50184996251781,13,0.7483896851265592
S0126,T02,Authentication system,java,P0,claude-3.5-sonnet,1,50,3.1173242534467294,58.42147983190915,12,0.9147785236567537
S0127,T02,Authentication system,java,P0,claude-3.5-sonnet,2,46,2.5550349426582177,58.99960277711577,12,0.4919308925234255
S0128,T02,Authentication system,java,P0,claude-3.5-sonnet,3,48,3.660574349473577,60.5263833373012,14,0.5248317921610943
S0129,T02,Authentication system,java,P0,claude-3.5-sonnet,4,46,2.965773061226449,56.36623112846479,12,1.9802867286169263
S0130,T02,Authentication system,java,P0,claude-3.5-sonnet,5,44,3.0932470199502218,55.60586205907102,11,0.3238064001143377
S0131,T02,Authentication system,java,P1,gpt-4o,1,69,2.2313798680326666,47.44351939774208,27,1.8457813455463101
S0132,T02,Authentication system,java,P1,gpt-4o,2,79,2.422915516223283,54.357880702771745,28,1.3596348672788323
S0133,T02,Authentication system,java,P1,gpt-4o,3,73,2.313209020042843,48.949801112576104,28,1.8042865494058633
S0134,T02,Authentication system,java,P1,gpt-4o,4,81,1.5726562655959722,48.27077967318067,28,1.893980033149997
S0135,T02,Authentication system,java,P1,gpt-4o,5,69,1.0092146089384066,47.58707587694675,29,2.0397249049951647
S0136,T02,Authentication system,java,P1,claude-3.5-sonnet,1,74,2.3981352036921066,55.19372270153307,27,2.5060692405885048
S0137,T02,Authentication system,java,P1,claude-3.5-sonnet,2,74,2.0136080283160833,50.927969997485995,27,2.0152172281953784
S0138,T02,Authentication system,java,P1,claude-3.5-sonnet,3,80,2.5770370111746366,50.72559954097078,27,2.659680436474106
S0139,T02,Authentication system,java,P1,claude-3.5-sonnet,4,74,2.4718425089339497,54.381035810427804,25,2.7387357096907063
S0140,T02,Authentication system,java,P1,claude-3.5-sonnet,5,83,2.317243281543066,45.93366509302675,29,1.5113529985620193
S0141,T02,Authentication system,java,P2,gpt-4o,1,161,1.0,48.66975778323393,1,5.3380883679208155
S0142,T02,Authentication system,java,P2,gpt-4o,2,179,1.0,44.650937095258094,0,5.004377607915627
S0143,T02,Authentication system,java,P2,gpt-4o,3,159,1.7190339403592896,48.17037180097917,0,5.655492457413767
S0144,T02,Authentication system,java,P2,gpt-4o,4,145,2.5095264684737884,48.01770071626529,2,5.465348934519
S0145,T02,Authentication system,java,P2,gpt-4o,5,151,1.4860612782792173,47.80495977496052,0,4.322512027473431
S0146,T02,Authentication system,java,P2,claude-3.5-sonnet,1,162,1.8300963954444183,50.252922747899035,0,4.367077711092969
S0147,T02,Authentication system,java,P2,claude-3.5-sonnet,2,156,1.2474183433936066,44.45686474915724,1,4.073648924193552
S0148,T02,Authentication system,java,P2,claude-3.5-sonnet,3,132,1.0,43.86015463891084,2,6.711200060116282
S0149,T02,Authentication system,java,P2,claude-3.5-sonnet,4,152,1.0,48.59847920800798,0,4.1715622603444
S0150,T02,Authentication system,java,P2,claude-3.5-sonnet,5,153,1.0878203580073893,51.71125754891238,0,4.734543482301183
S0151,T02,Authentication system,java,P3,gpt-4o,1,202,1.0,53.02732863227136,1,5.702177876390784
S0152,T02,Authentication system,java,P3,gpt-4o,2,203,2.2703665298296167,48.593697327784945,2,6.730707034866197
S0153,T02,Authentication system,java,P3,gpt-4o,3,237,1.4749709828094573,50.80000593677611,0,7.3292641824842315
S0154,T02,Authentication system,java,P3,gpt-4o,4,202,1.0,49.94292736132636,1,6.272836876940222
S0155,T02,Authentication system,java,P3,gpt-4o,5,207,1.0,48.53013668821567,0,6.323866627573534
S0156,T02,Authentication system,java,P3,claude-3.5-sonnet,1,199,1.9192733557194717,50.5995934418505,2,6.178955720096878
S0157,T02,Authentication system,java,P3,claude-3.5-sonnet,2,203,1.0,47.41506047753684,0,6.934615992571862
S0158,T02,Authentication system,java,P3,claude-3.5-sonnet,3,216,2.0644271053646213,49.30732129722959,2,5.217725352799279
S0159,T02,Authentication system,java,P3,claude-3.5-sonnet,4,213,1.0,47.78275840774528,0,6.860998428141088
S0160,T02,Authentication system,java,P3,claude-3.5-sonnet,5,226,1.1979151221703481,51.24845448732316,0,6.290481539925861
S0201,T03,File management system,java,P0,gpt-4o,1,43,3.030857109679747,61.63292571313415,10,1.0955911252980988
S0202,T03,File management system,java,P0,gpt-4o,2,51,3.286229333210007,58.36875019966938,10,0.89546224235861
S0203,T03,File management system,java,P0,gpt-4o,3,43,2.7848976779234254,61.068198765732554,12,0.0
S0204,T03,File management system,java,P0,gpt-4o,4,45,2.896337014653793,59.60241898743554,12,0.7117125792886789
S0205,T03,File management system,java,P0,gpt-4o,5,47,3.602334241815319,54.387544744402305,13,0.3073586716852593
S0206,T03,File management system,java,P0,claude-3.5-sonnet,1,47,3.748100187498465,55.697726508958745,14,1.4261335116066143
S0207,T03,File management system,java,P0,claude-3.5-sonnet,2,48,3.2055953601969263,52.958334664929836,10,0.8924660507088289
S0209,T03,File management system,java,P0,claude-3.5-sonnet,4,43,2.836619548486599,53.91660353457281,12,0.3829235531105413
S0210,T03,File management system,java,P0,claude-3.5-sonnet,5,47,3.7123669466957736,53.188854547424974,14,1.2983947996521525
S0211,T03,File management system,java,P1,gpt-4o,1,69,2.4337935886306123,48.76893208855547,28,1.7823228560391944
S0212,T03,File management system,java,P1,gpt-4o,2,74,2.6676102021222254,51.91884498408435,28,2.0210483092691782
S0213,T03,File management system,java,P1,gpt-4o,3,80,1.717786967877837,51.65319064651502,28,2.4603260753173473
S0214,T03,File management system,java,P1,gpt-4o,4,73,1.7769628358161638,50.181598455525744,28,2.9615232039915145
S0215,T03,File management system,java,P1,gpt-4o,5,80,2.904497612547944,57.89735202436377,25,3.034741762907405
S0216,T03,File management system,java,P1,claude-3.5-sonnet,1,77,2.3770009194528403,42.63480206170968,28,2.4893810738789606
S0217,T03,File management system,java,P1,claude-3.5-sonnet,2,68,2.308104335903014,53.39931609877994,26,2.03249643285923
S0218,T03,File management system,java,P1,claude-3.5-sonnet,3,80,2.556488022561128,48.84576800594024,27,2.0574318552453934
S0219,T03,File management system,java,P1,claude-3.5-sonnet,4,80,1.9316944816757036,48.36603018012075,28,2.350768447671638
S0220,T03,File management system,java,P1,claude-3.5-sonnet,5,72,2.189566511723412,52.970298446070544,26,2.3976085204054947
S0221,T03,File management system,java,P2,gpt-4o,1,159,1.0,48.15597164130551,1,5.175128508388712
S0222,T03,File management system,java,P2,gpt-4o,2,158,1.243054200913487,43.826838112228664,0,5.70523083970399
S0223,T03,File management system,java,P2,gpt-4o,3,158,1.3268614551890863,43.335207165828045,0,6.6160657649283365
S0224,T03,File management system,java,P2,gpt-4o,4,165,1.0,43.961592125396834,2,5.140402906132707
S0225,T03,File management system,java,P2,gpt-4o,5,167,1.5943239520051655,43.02853104385207,0,5.289278322297465
S0226,T03,File management system,java,P2,claude-3.5-sonnet,1,157,1.664930877717583,42.87149957427342,0,5.50328771771853
S0227,T03,File management system,java,P2,claude-3.5-sonnet,2,160,1.787632097368736,47.41367405679736,2,5.442168458084028
S0228,T03,File management system,java,P2,claude-3.5-sonnet,3,157,1.1552887731396126,50.15506391286836,0,4.961828734054523
S0229,T03,File management system,java,P2,claude-3.5-sonnet,4,149,1.0365979139570085,39.6277245076144,1,3.8999720032175516
S0230,T03,File management system,java,P2,claude-3.5-sonnet,5,156,1.0247000447922274,47.13855332625211,2,5.148682318568219
S0231,T03,File management system,java,P3,gpt-4o,1,203,2.043131027337731,43.64611097356791,0,5.719033423515728
S0232,T03,File management system,java,P3,gpt-4o,2,209,1.0,47.65062054035001,0,5.514490162333135
S0233,T03,File management system,java,P3,gpt-4o,3,210,2.139295663356883,52.49183615735026,0,5.176129987493025
S0234,T03,File management system,java,P3,gpt-4o,4,225,1.3991402374888957,45.8827466447853,1,6.479485341446148
S0235,T03,File management system,java,P3,gpt-4o,5,224,1.7595918503393995,54.51302035201763,0,5.629518269126995
S0236,T03,File management system,java,P3,claude-3.5-sonnet,1,210,1.0,49.163647184759114,1,6.33128629664857
S0237,T03,File management system,java,P3,claude-3.5-sonnet,2,224,1.5692059550747888,51.21744157997333,0,6.19964907705104
S0238,T03,File management system,java,P3,claude-3.5-sonnet,3,219,1.529677548285081,53.25131346276639,2,5.64623320632224
S0239,T03,File management system,java,P3,claude-3.5-sonnet,4,198,1.0,48.884134890975886,0,6.139365587140453
S0281,T04,Notification system,java,P0,gpt-4o,1,46,2.6806399740428124,60.86633287783246,13,1.1735600187482744
S0282,T04,Notification system,java,P0,gpt-4o,2,45,2.644373412720409,55.9220891080201,12,0.5595028160774302
S0283,T04,Notification system,java,P0,gpt-4o,3,49,3.1191828340088588,56.23084032583472,11,0.06511904663652521
S0284,T04,Notification system,java,P0,gpt-4o,4,47,2.6063461869540996,61.071833718019406,11,0.5361848315790847
S0285,T04,Notification system,java,P0,gpt-4o,5,45,3.218804039851805,59.14159892356955,14,2.4337181371325434
S0286,T04,Notification system,java,P0,claude-3.5-sonnet,1,52,3.609176300795231,52.393053493040114,14,1.3658861759607543
S0287,T04,Notification system,java,P0,claude-3.5-sonnet,2,47,3.1158111286046317,62.56773057673523,13,0.6919993117568539
S0288,T04,Notification system,java,P0,claude-3.5-sonnet,3,43,2.6655647296919267,56.828715243239145,14,1.259946448924237
S0289,T04,Notification system,java,P0,claude-3.5-sonnet,4,46,2.8714157631252677,55.854873080883124,13,0.454716539078666
S0290,T04,Notification system,java,P0,claude-3.5-sonnet,5,49,2.709209179740579,55.465985998460596,14,0.9286666494024242
S0291,T04,Notification system,java,P1,gpt-4o,1,72,2.7588980759299435,57.519552725414485,25,2.4564163633922846
S0292,T04,Notification system,java,P1,gpt-4o,2,66,2.7451359430978703,52.17835523657477,25,3.672837654668726
S0293,T04,Notification system,java,P1,gpt-4o,3,76,2.654333422275209,54.9152706918978,25,1.381677302189758
S0294,T04,Notification system,java,P1,gpt-4o,4,86,2.7671444273421772,57.33929400981234,29,1.6156370653688694
S0295,T04,Notification system,java,P1,gpt-4o,5,67,2.840537847450224,50.36045997237189,29,0.828839191558729
S0296,T04,Notification system,java,P1,claude-3.5-sonnet,1,83,2.6605402061892307,51.612305444646566,27,2.562506258559475
S0297,T04,Notification system,java,P1,claude-3.5-sonnet,2,81,2.566986487964168,48.39129045332744,29,2.076801744580371
S0298,T04,Notification system,java,P1,claude-3.5-sonnet,3,71,1.8368032726289725,48.07255308411559,27,2.3578209252771067
S0299,T04,Notification system,java,P1,claude-3.5-sonnet,4,79,2.552612453100534,45.96286429438804,25,2.5783838531597
S0300,T04,Notification system,java,P1,claude-3.5-sonnet,5,73,2.685815744152743,53.71530027837493,29,2.26615354048303
S0301,T04,Notification system,java,P2,gpt-4o,1,163,1.9947332273064804,49.099257346993944,1,5.016894916917403
S0302,T04,Notification system,java,P2,gpt-4o,2,143,1.4422512188056709,48.81886462644699,2,5.96028163049289
S0303,T04,Notification system,java,P2,gpt-4o,3,150,1.1677532009525204,46.9977733196879,0,5.786898470970998
S0304,T04,Notification system,java,P2,gpt-4o,4,152,1.0,43.03197454590155,0,5.332197217010454
S0305,T04,Notification system,java,P2,gpt-4o,5,148,1.0,42.63348992993379,1,6.148173371352844
S0306,T04,Notification system,java,P2,claude-3.5-sonnet,1,172,1.0,52.2242524783492,0,5.020115665023532
S0307,T04,Notification system,java,P2,claude-3.5-sonnet,2,162,1.3579020327189875,44.678655789023395,1,4.518206542989318
S0309,T04,Notification system,java,P2,claude-3.5-sonnet,4,166,1.6269583707529125,45.6904410929704,0,5.593323092190309
S0310,T04,Notification system,java,P2,claude-3.5-sonnet,5,156,1.5637420392903048,47.71907930832247,1,4.2172333303057705
S0311,T04,Notification system,java,P3,gpt-4o,1,211,1.0,45.227917772911226,1,5.376737787835648
S0312,T04,Notification system,java,P3,gpt-4o,2,197,1.4508434108337158,50.345832106235086,0,7.097569024723341
S0313,T04,Notification system,java,P3,gpt-4o,3,225,1.4122747799959137,42.687970228797774,2,7.670639566665494
S0314,T04,Notification system,java,P3,gpt-4o,4,190,1.4475714507736817,53.19551755690454,0,7.526365608120374
S0315,T04,Notification system,java,P3,gpt-4o,5,201,1.343615532218729,53.2133811439126,0,6.0233341393010225
S0316,T04,Notification system,java,P3,claude-3.5-sonnet,1,235,1.4909075689941822,52.06884597679817,0,6.217326115606752
S0317,T04,Notification system,java,P3,claude-3.5-sonnet,2,198,1.5464644952018367,46.94327949596931,0,5.7399668403148905
S0318,T04,Notification system,java,P3,claude-3.5-sonnet,3,204,1.0,49.98384931202011,0,6.757959619223429
S0319,T04,Notification system,java,P3,claude-3.5-sonnet,4,228,1.869013995799587,49.06666583774879,0,6.661987560803622
S0320,T04,Notification system,java,P3,claude-3.5-sonnet,5,200,1.0,45.43821877022758,0,6.839297541786866
S0361,T05,Shopping cart,java,P0,gpt-4o,1,47,3.239076498918819,59.169708891801946,13,1.975700415343922
S0362,T05,Shopping cart,java,P0,gpt-4o,2,42,2.100173167176412,62.96235145987252,13,0.16716482545094677
S0363,T05,Shopping cart,java,P0,gpt-4o,3,50,3.0990222112737573,57.49474066704005,12,1.1956644160345706
S0364,T05,Shopping cart,java,P0,gpt-4o,4,47,4.264993857129988,56.04749730700594,13,1.1509327413844626
S0365,T05,Shopping cart,java,P0,gpt-4o,5,47,2.108812349206114,56.13575095972966,10,1.1449520783561633
S0366,T05,Shopping cart,java,P0,claude-3.5-sonnet,1,42,2.1808788315966554,58.53784130392565,11,0.0
S0367,T05,Shopping cart,java,P0,claude-3.5-sonnet,2,45,4.044499798296847,57.02850394903877,12,0.1468115592207714
S0368,T05,Shopping cart,java,P0,claude-3.5-sonnet,3,43,3.2260532624971043,56.80599480934654,10,1.5857563887636936
S0369,T05,Shopping cart,java,P0,claude-3.5-sonnet,4,53,2.5674961492357515,57.250345219338676,12,0.589665634276852
S0370,T05,Shopping cart,java,P0,claude-3.5-sonnet,5,46,2.9862832329780202,55.59388223436797,13,1.3332111462701202
S0371,T05,Shopping cart,java,P1,gpt-4o,1,81,2.565108231138356,52.00358658688597,29,1.5045876590360483
S0372,T05,Shopping cart,java,P1,gpt-4o,2,87,2.996245526860508,56.25136084848334,26,1.9141552249840112
S0373,T05,Shopping cart,java,P1,gpt-4o,3,83,2.3045845294381797,51.88982609588014,27,1.8486812624148785
